# radius        density         temperature       velocity          h          he          c           n           o           ne           mg           si          s          ar          ca          ti          cr           fe           ni          fe52
     1.382812e+10       2.033025e+00       3.812898e+07       3.498759e+07       8.536315e-14       2.567868e-02       9.915251e-06       0.000000e+00       1.069923e-08       2.573430e-08       5.563924e-08       1.818986e-06       2.746731e-06       6.787346e-06       3.535529e-05       7.231738e-05       7.260153e-05       4.417641e-02       1.344794e-04       9.298088e-01
     1.394531e+10       2.031401e+00       3.811946e+07       3.498759e+07       8.537251e-14       2.567918e-02       9.915772e-06       0.000000e+00       1.069975e-08       2.573741e-08       5.564612e-08       1.819126e-06       2.746881e-06       6.787664e-06       3.535592e-05       7.231823e-05       7.260754e-05       4.416252e-02       1.344797e-04       9.298222e-01
     1.402344e+10       2.034048e+00       3.813982e+07       3.498759e+07       8.537869e-14       2.567950e-02       9.916113e-06       0.000000e+00       1.070010e-08       2.573938e-08       5.565060e-08       1.819220e-06       2.746982e-06       6.787877e-06       3.535633e-05       7.231878e-05       7.261148e-05       4.415359e-02       1.344799e-04       9.298308e-01
     1.410156e+10       2.046152e+00       3.823284e+07       3.498759e+07       8.538486e-14       2.567981e-02       9.916454e-06       0.000000e+00       1.070044e-08       2.574133e-08       5.565505e-08       1.819316e-06       2.747083e-06       6.788089e-06       3.535674e-05       7.231931e-05       7.261540e-05       4.414474e-02       1.344800e-04       9.298393e-01
     1.417969e+10       2.087452e+00       3.852556e+07       3.498759e+07       8.539107e-14       2.568012e-02       9.916795e-06       0.000000e+00       1.070078e-08       2.574326e-08       5.565950e-08       1.819414e-06       2.747186e-06       6.788304e-06       3.535714e-05       7.231984e-05       7.261933e-05       4.413594e-02       1.344802e-04       9.298478e-01
     1.425781e+10       2.160971e+00       3.902507e+07       3.498759e+07       8.539739e-14       2.568043e-02       9.917142e-06       0.000000e+00       1.070113e-08       2.574518e-08       5.566399e-08       1.819514e-06       2.747291e-06       6.788522e-06       3.535755e-05       7.232037e-05       7.262331e-05       4.412713e-02       1.344803e-04       9.298563e-01
     1.433594e+10       2.238840e+00       3.953929e+07       3.498759e+07       8.540389e-14       2.568075e-02       9.917497e-06       0.000000e+00       1.070149e-08       2.574714e-08       5.566860e-08       1.819619e-06       2.747399e-06       6.788747e-06       3.535797e-05       7.232090e-05       7.262740e-05       4.411814e-02       1.344804e-04       9.298650e-01
     1.441406e+10       2.270997e+00       3.975203e+07       3.498759e+07       8.541051e-14       2.568106e-02       9.917858e-06       0.000000e+00       1.070186e-08       2.574912e-08       5.567327e-08       1.819725e-06       2.747509e-06       6.788976e-06       3.535839e-05       7.232145e-05       7.263156e-05       4.410904e-02       1.344805e-04       9.298737e-01
     1.449219e+10       2.291668e+00       3.988500e+07       3.498759e+07       8.541715e-14       2.568137e-02       9.918219e-06       0.000000e+00       1.070223e-08       2.575110e-08       5.567794e-08       1.819832e-06       2.747621e-06       6.789205e-06       3.535882e-05       7.232199e-05       7.263572e-05       4.409998e-02       1.344807e-04       9.298825e-01
     1.457031e+10       2.290240e+00       3.987619e+07       3.498759e+07       8.542372e-14       2.568168e-02       9.918574e-06       0.000000e+00       1.070259e-08       2.575302e-08       5.568254e-08       1.819939e-06       2.747731e-06       6.789432e-06       3.535923e-05       7.232252e-05       7.263983e-05       4.409113e-02       1.344808e-04       9.298910e-01
